qid,query
train_1112,"Along^3 with Colchester^3 Georgetown^3 Alexandria^3 and Falmouth^3 what city is near Fredericksburg^3 ""Colchester Georgetown Alexandria""^4"
train_1113,Which city does Baltimore^3 leave every day from May^2 01^2 1804^2 to November^2 01^2 1804^2
train_1114,What city did Fredericksburg^3 arrive in by 11^2 p m
train_1115,What city does Fredericksburg^3 leave every day
train_1116,On what day of the week does Washington^3 leave at 5^2 p m
train_1117,What city does Fredericksburg^3 arrive at February^2 28^2 1804^2 by 10^2 a m
train_1118,"What time does Richmond^3 arrive at Fredericksburg^3 February^2 28^2 1804^2 ""Fredericksburg February""^4"
train_1119,From what city to Norfolk^3 three times a week
train_1120,"How many times a week does William^3 Burt^3 travel from Richmond^3 to Norfolk^3 ""William Burt""^4"
train_1121,On what days does Norfolk^3 arrive at Hampton^3 by 10^2 am
train_1122,What city does Petersburg^3 travel to three times a week
train_1123,When will Thole^3 who Contrat^3 receive their pay only
train_1124,How long after the expiration of each quarter will Thole^3 who Contrat^3 receive their pay
train_1125,"When was the General^3 Post^3 Office^3 in Washington^3 City^3 ""General Post Office""^4 ""Washington City""^4"
train_1126,"Who is a native of this state but is well acquainted in the states of North^3 Carolina^3 Virginia^3 and Tennessee^3 ""North Carolina Virginia""^4"
train_1127,What state is Harry^3 well acquainted with
train_1128,"Who was the Commissary^3 General^3 of the United^3 States^3 ""Commissary General""^4 ""United States""^4"
train_1129,"Who was Bartholomew^3 I^3 Duke^3 s son ""Bartholomew I Duke""^4"
train_1130,"What is Benjamin^3 T^3 Fry^3 s profession ""Benjamin T Fry""^4"
train_1131,"Who was the Miss^3 of Washington^3 City^3 ""Washington City""^4"
train_1132,"Who was the Esq^2 of Rutledge^3 Brown^3 ""Rutledge Brown""^4"
train_1133,"Who was the name of the man who was a member of the United^3 States^3 Supreme^3 Court^3 ""United States Supreme Court""^4"
train_1134,"Who was the name of the man who represented the United^3 States^3 in the Civil^3 War^3 ""United States""^4 ""Civil War""^4"
train_1135,"Who was the junior of John^3 Law^3 ""John Law""^4"
train_1136,"Who was Mr^3 Amos^3 Alexander^3 Stewart^3 s father ""Mr Amos Alexander Stewart""^4"
train_1137,"Who was the Lieut^3 John^3 Trippe^3 s Lieut^3 ""Lieut John Trippe""^4"
train_1138,"Who was Mr^3 Joseph^3 Thompson^3 s father ""Mr Joseph Thompson""^4"
train_1139,"Who was the Col^3 of WASHINGTON^3 CITY^3 ""WASHINGTON CITY""^4"
train_1140,Who commenced the Practice^3 of the Law^3
train_1141,"Who was the Clerk^3 of the County^3 Court^3 ""County Court""^4"
train_1142,"Who wrote the letter to the Editor^3 of the Daily^3 Advertiser^3 ""Daily Advertiser""^4"
train_1143,What country did the member from Virginia^3 tend to the peace and harmony of
train_1144,What country is Ilibel^3 a member of
train_1145,When did a member of Congress^3 declare that the conduct administration evinces either gross ignorance or evil design
train_1146,"How many first officers of the U^3 S^3 government were sentenced to condemnation by the Citizens^3 of the U^3 S^3 ""U S""^4 ""U S""^4"
train_1147,Who is the member of the House^3 of Representatives^3 that is required to present a brief statement of the defence of the accused
train_1148,"What was the name of the United^3 States^3 House^3 of Representatives^3 ""United States House""^4"
train_1149,"Who was the CONGRESS^3 OF THE UNITED^3 STATES^3 ""CONGRESS OF THE UNITED STATES""^4"
train_1150,Southward^3 said he knew of no force in which government
train_1151,Which state did Southward^3 think the settlement of debts was not just
train_1152,How many common causes were all the States^3 engaged in
train_1153,"What state did Mr^3 Rutledge^3 think had played the general February^2 17^2 1802^2 ""Mr Rutledge""^4"
train_1154,Who did Rutledge^3 believe would have indulged the debtor States^3 with a reference
train_1155,"What branch of government did Mr^3 Rutledge^3 think should have been asked to take action to get rid of the debts ""Mr Rutledge""^4"
train_1156,"Along^3 with New^3 York^3 what state spoke about the sensibility of the debtor States^3 ""New York""^4"
train_1157,"Along^3 with Delaware^3 what New^3 York^3 state did Rutledge^3 think the debtor states knew they couldn t be compelled to pay ""New York""^4"
train_1158,"How many sides of the Pi^3 River^3 were the two claims made ""Pi River""^4"
train_1159,How many cases had seven shillings been allowed
train_1160,How many shillings were allowed in one case
train_1161,"How much did New^3 York^3 pay for the bushel of wheat ""New York""^4"
train_1162,"Who did New^3 York^3 s debts get attention from ""New York""^4"
train_1163,Which state had extinguished 800^2 000^2 dollars of her balance under certain provisions applied to her case
train_1164,What state enforces the propriety of all the States^3 contributing for the general defence
train_1165,Which state availed herself of the act of Congress^3
train_1166,"New^3 York^3 had availed herself of the act of which body ""New York""^4"
train_1167,"New^3 York^3 chose to avail herself of the act of Congress^3 because she preferred to remain in the situation towards which country ""New York""^4"
train_1168,What state did the gentleman say did not pay one cent
train_1169,"How much did North^3 Carolina^3 not pay ""North Carolina""^4"
train_1170,Who discharged a greater sum than all the other debtor States^3 with the exception of Delaware^3
train_1171,"New^3 York^3 discharged a greater sum than was due by all debtor States^3 except what ""New York""^4"
train_1172,"Which state agreed to make certain payments to the United^3 States^3 ""United States""^4"
train_1173,"Who did New^3 York^3 want to enforce payment by ""New York""^4"
train_1174,"What state was involved in great difficulties in a settlement with the United^3 States^3 ""United States""^4"
train_1175,"How many thighs did AZARIAH^3 HIGGINS^3 have for three years ""AZARIAH HIGGINS""^4"
train_1176,"When did Edward^3 Welt^3 set his hand and seal ""Edward Welt""^4"
train_1177,When was Newton^3 s Principia^3 not allowed to be printed at Rome^3
train_1178,"What city did the First^3 Christians^3 burn ""First Christians""^4"
train_1179,How long had Ruf^3 ledge s reso lution previously been set aside
train_1180,"Which side of the House^3 did Rutledge^3 Griswold^3 and Iluger^3 not speak for ""Rutledge Griswold""^4"
train_1181,What committee did Bayard^3 call up to investigate the expediency of reducing tax upon fruit
train_1182,What country did Kon^3 know the commercial code of
train_1183,The rich harvest of baslyew reserved for how many men
train_1184,"What was the name of the commander general of Let^3 Paris^3 ""Let Paris""^4"
train_1185,How many generals did the 5th^2 II^3 of Tor^3 need
train_1186,What was the name of the general who quoud Vol^3 ai c
train_1187,Who is the first foreigner to receive the decoration of the eagle of the legion of honour
train_1188,"Who gave the decoration of the eagle of the legion of honour to the Cardinal^3 Legate^3 ""Cardinal Legate""^4"
train_1189,Which body flatter themselves to be first of the state bodies
train_1190,"The members of the Senate^3 owed homage to the Grand^3 Elector^3 of what country ""Grand Elector""^4"
train_1191,"When did the Secretary^3 of State^3 for the United^3 States^3 receive a circular letter ""United States""^4"
train_1192,"Who ratified the amendment to the Constitution^3 of the United^3 States^3 ""United States""^4"
train_1193,"How many copies of the United^3 States^3 Laws^3 have been forwarded for the use of this state since the last session of the Legislature^3 ""United States Laws""^4"
train_1194,Who left Lisbon^3 on the 5th^2 ult^2
train_1195,"Along^3 with Capt^3 Burger^3 who was on the ship John^3 ""Capt Burger""^4"
train_1196,Which army was fast proaching the borders of Portugal^3
train_1197,What country was the French^3 army fast ap proaching the borders of
train_1198,How many men were in the French^3 army marching through Spain^3 and Portugal^3
train_1199,Along^3 with Portugal^3 what country was the French^3 army marching through
train_1200,What country was the French^3 army marching through
train_1201,Who said he expected the French^3 to have Lisbon^3 in April^2 1810^2
train_1202,"Who told Capt^3 Burger^3 that he expected the French^3 to have Lisbon^3 in April^2 1810^2 ""Capt Burger""^4"
train_1203,"Who was the Com^3 of the U^3 S^3 Frigate^3 Constitution^3 ""U S Frigate Constitution""^4"
train_1204,"When did the American^2 Frigate^3 John^3 Adams^3 sail ""American Frigate John Adams""^4"
train_1205,"When did the American^2 Frigate^3 John^3 Adams^3 return to the Downs^3 ""American Frigate John Adams""^4"
train_1206,"On what day was Tamer^3 Henry^3 arrested ""Tamer Henry""^4"
train_1207,How many blacksmiths were there in Havana^3
train_1208,How many white folks were in Havana^3
train_1209,How many men were captured in Miranda^3 s expedition
train_1210,How many of Miranda^3 s men are to be sent to Spain^3
train_1211,"What was the name of Captain^3 Driscoll^3 ""Captain Driscoll""^4"
train_1212,"Who was the consort^2 of Mrs^2 Cornelia^3 Tap^3 pen G^3 reet ""Mrs Cornelia Tap""^4"
train_1213,"Who was the second daughter of Cornelia^3 Tap^3 pen G^3 reet ""Cornelia Tap""^4"
train_1214,"What country was George^3 Clinton^3 vice president of ""George Clinton""^4"
train_1215,"When was the house given to WILLIAM^3 Wilmington^3 ""WILLIAM Wilmington""^4"
train_1216,"What is the name of the bank that was given to WILLIAM^3 Wilmington^3 ""WILLIAM Wilmington""^4"
train_1217,How many directors will be elected for the Bank^3 of Wil^3 mington and Brandywine^3
train_1218,On what day will the meeting of the stock holders of the Bank^3 of Wil^3 mington and Brandywine^3 be held
train_1219,"Who was the father of ROBT^3 HAMILTON^3 ""ROBT HAMILTON""^4"
train_1220,"Who was the director of the Wilmington^3 College^3 ""Wilmington College""^4"
train_1221,What college s trustees are pleased to announce that the Latin^3 department is permanently established
train_1222,"Who has engaged a ship at St^3 Sebastian^3 to take his family to America^3 in May^2 1810^2 ""St Sebastian""^4"
train_1223,What country will Armstrong^3 take his family to in May^2 1915^2
train_1224,What is the name of the Russian^3 ambassador who sails for Philadelphia^3
train_1225,What language is the correspondent of the editor in Hamburg^3
train_1226,"What city did David^3 Files^3 call himself a native of ""David Files""^4"
train_1227,"How many widow women did David^3 Files^3 assault ""David Files""^4"
train_1228,"What was the name of the woman that David^3 Files^3 attacked ""David Files""^4"
train_1229,"How many women did David^3 Files^3 assault ""David Files""^4"
train_1230,"When will David^3 Files^3 trial take place ""David Files""^4"
train_1231,On what day was the body of an infant child drawn out
train_1232,How many of the Spaniards^3 got drunk
train_1233,"Who was the Hon^3 Marsh^3 s father ""Hon Marsh""^4"
train_1234,"Who lives in South^3 Hampton^3 Elizabeth^3 City^3 County^3 Virginia^3 ""South Hampton Elizabeth City County Virginia""^4"
train_1235,"Who was 25th^2 in Fell^3 s Point^3 Baltimore^3 ""Point Baltimore""^4"
train_1236,"Who told friends and the public that he has removed to the house recently occupied by Nathan^3 Bassett^3 ""Nathan Bassett""^4"
train_1237,"Who recently occupied Matthew^3 Kean^3 s house ""Matthew Kean""^4"
train_1238,"What state is New^3 Castle^3 located in ""New Castle""^4"
train_1239,"How far from Wilmington^3 is tf For Sale^3 ""For Sale""^4"
train_1240,"What country is an enquiry into the National^3 Character^3 of ""National Character""^4"
train_1241,What religion did no one government beyond the Atlantic^3 concede the freedom of religion to its citizens or subjects in the first 18^2 long centuries
train_1242,"How many tenths of the subjects of foreign powers did the United^3 States^3 trade with ""United States""^4"
train_1243,How long after the end of each calendar year is it suggested on all the dutiable manufactures ot every foreign nation
train_1244,"How long prior to the time of payment must the Secretary^3 of State^3 declare that a duty has been committed on any ship or vessel of the United^3 States^3 ""United States""^4"
train_1245,"During what year of importation does the Secretary^3 of State^3 commit a duty on any ship or vessel of the United^3 States^3 ""United States""^4"
train_1246,What country does the Secretary^3 of State^3 have a duty on
train_1247,What country s ships are subject to a duty of two and a half per cent
train_1248,Which government believed it could seal the ports of the continent against the introduction of British^2 commodities
train_1249,What country did France^3 believe deprivations were not the result of French^3 measures
train_1250,"How many acres of land is on Mill^3 Creek^3 ""Mill Creek""^4"
train_1251,"In what state is Mill^3 Creek^3 hundred located ""Mill Creek""^4"
train_1252,"How much land does Mill^3 Creek^3 hundred contain ""Mill Creek""^4"
train_1253,How far from Wilmington^3 is the tract of land on which the subscriber currently resides
train_1254,"How many miles from New^3 Port^3 is the tract of land on which the subscriber currently resides ""New Port""^4"
train_1255,How many times out of ten do these pills provide relief to those who use them for the purposes for which they are intended
train_1256,"In what year was LOCK^3 S^3 LOTION^3 imposed ""LOCK S LOTION""^4"
train_1257,"Whose^3 farm is near the North^3 West^3 Branch^3 of Duck^3 Creek^3 ""North West Branch""^4 ""Duck Creek""^4"
train_1258,"In what state is Edward^3 Roberts^3 farm located ""Edward Roberts""^4"
train_1259,"Who are the trustees of Wilmington^3 College^3 ""Wilmington College""^4"
train_1260,"Who is in charge of the Latin^3 school at Wilmington^3 College^3 ""Wilmington College""^4"
train_1261,Who was the Chairman^3 of the Board^3 of Trustees^3
train_1262,Who was the director of the Board^3 of Trustees^3
train_1263,When was the order of the Board^3 issued
train_1264,"Who wrote Weems^3 Life^3 of Washington^3 ""Weems Life""^4"
train_1265,Who wrote The history of the decline and fall of the Ro^3 man Empire^3
train_1266,"Miss^3 Owenson^3 wrote patriotic sketches of what country ""Miss Owenson""^4"
train_1267,"Who wrote The Drowned^3 Wife^3 ""The Drowned Wife""^4"
train_1268,Who were the true disciples of Fenno^3
train_1269,"Who was the president of the United^3 States^3 prior to his election ""United States""^4"
train_1270,Who was a para site of Bonaparte^3 and a member of the Legion^3 of Honor^3
train_1271,What was Jefferson^3 a member of prior to his election
train_1272,What country did Madison^3 say he must give to
train_1273,Who was Jefferson^3 a staunch adherent of
train_1274,"What faction did John^3 Adams^3 want to overthrow ""John Adams""^4"
train_1275,"Who will have earned a mausoleum if he overthrows the Essex^3 Junto^3 ""Essex Junto""^4"
train_1276,Who should the approbation of the wrong headed Federalists^3 raise in the bosom of
train_1277,Who was kicked out of office by Adams^3
train_1278,"How long has it been since Timothy^3 Pickering^3 was kicked out of office ""Timothy Pickering""^4"
train_1279,"What state passed a private Act^3 to order the sale of James^3 Marshall^3 s real estate ""James Marshall""^4"
train_1280,When will the next Orphan^3 s Court^3 be held
train_1281,What was the name of the Farmer^3 s Bank^3
train_1282,When did Farmer^3 s Bank^3 of the State^3 of Delaware^3 declare a dividend
train_1283,For how long has a dividend been declared for Farmer^3 s Bank^3 of the State^3 of Delaware^3
train_1284,How much per centum per annum did the Directors^3 declare on the capital stock of Farmer^3 s Bank^3 of the State^3 of Delaware^3
train_1285,Who is the Cashier^3 of Farmer^3 s Bank^3 of the State^3 of Delaware^3
train_1286,What country was attacked by the French^3 emperor
train_1287,What country was evacuated by the French^3 army
train_1288,"What state did The American^2 Register^3 cover at the time of its transfer to the United^3 States^3 ""The American Register""^4 ""United States""^4"
train_1289,When was Canning^3 s letter to Pinkney^3 sent
train_1290,When did Erskine^3 have few new orders to relieve the system under which the former orders were issued
train_1291,What country s enemies did neutrals trade with through British^2 ports on payment of a transit duty
train_1292,When was all trade with France^3 and Holland^3 and the ports of Italy^3 simply prohibited altogether
train_1293,"How many governments are there between the United^3 States^3 and the United^3 Kingdom^3 ""United States""^4 ""United Kingdom""^4"
train_1294,What state s Gazette^3 shall be published every December^2 13^2 1809^2 and December^2 09^2 1809^2
train_1295,"How many lines can an advertisement be in the Delaware^3 Gazette^3 ""Delaware Gazette""^4"
train_1296,"When was the arrangement of what month agreed upon by the President^3 of the United^3 States^3 ""United States""^4"
train_1297,"When was the dispatch of Mr^3 Canning^3 sent to Mr^3 Erskine^3 ""Mr Canning""^4 ""Mr Erskine""^4"
train_1298,What country s intention was it to prevent its citizens from trading with France^3 and certain other powers
train_1299,What country did Canning^3 say America^3 wanted to prevent its citizens from trading with
train_1300,How many things did the British^2 project contemplate in their nature incompatible
train_1301,"What country did the United^3 States^3 have to comply with in order for the agreement to be executed by Great^3 Britain^3 ""United States""^4 ""Great Britain""^4"
train_1302,"The non intercourse law of the United^3 States^3 did not extend to what country ""United States""^4"
train_1303,Holland^3 was intimately connected with what country
train_1304,Russia^3 had never violated her neutral trade with what country
train_1305,When did Russia^3 discriminate between the countries devoted to France^3 by the ties of blood
train_1306,Along^3 with Westphalia^3 and Naples^3 what country was discriminated against
train_1307,"Holland^3 Naples^3 and what other country have been discriminated against ""Holland Naples""^4"
train_1308,In what month and year were all the ports of Europe^3 except France^3 opened to commerce
train_1309,Along^3 with Holland^3 what kingdom is open to commerce under the order in council of April^2
train_1310,"Along^3 with Tonningen^3 Bremen^3 Emden^3 and Bremen^3 what port is a neighbor to Holland^3 ""Tonningen Bremen Emden""^4"
train_1311,How many countries did Erskine^3 say he had authority to conclude a convention between
train_1312,Which government did Erskine^3 say did not consider a separate power necessary
train_1313,"What country s laws allowed Great^3 Britain^3 to discharge deserters ""Great Britain""^4"
train_1314,When were the Turks^3 within two days of the British^2 advanced posts
train_1315,"How many men did the British^2 have from Gibraltar^3 Malta^3 etc ""Gibraltar Malta""^4"
train_1316,"Admiral^3 Keith^3 has taken a fleet full of French^3 vessels with troops for what country ""Admiral Keith""^4"
train_1317,"What country would be able to join the Spanish^3 Portuguese^3 fleet if France^3 and Spain^3 agreed to the conditions of peace proposed by France^3 and Spain^3 ""Spanish Portuguese""^4"
train_1318,Along^3 with Spain^3 what country has proposed a peace treaty with Portugal^3
train_1319,What country is proposing peace with Portugal^3
train_1320,Who is to command the ships that are to be victualed between Cadiz^3 and Lisbon^3
train_1321,Who received the last night s dispatches from the Admiralty^3
train_1322,The treaty of Lun^3 ville was a partition treaty between which country and Austria^3
train_1323,What country was the treaty of Lun^3 ville a partition treaty between France^3 and
train_1324,France^3 surrendered to Austria^3 indemnities in what country
train_1325,What country did the treaty of Lun^3 ville threaten to paralyze
train_1326,When was the letter from Bremen^3 dated
train_1327,The court of Vienna^3 has replied very coldly to the notification made to it by what country
train_1328,What country fell inevitable within six months
train_1329,The late movements of the French^3 troops have caused much anxiety in what country
train_1330,What country s papers contain no intelligence from Egypt^3
train_1331,When did the French^3 levie a new contribution of one million of livre
train_1332,From what country is Mon^3 tenegro reported to have been taken by French^3 troops
train_1333,When did a flag of truce arrive from France^3
train_1334,Which secretary of state left Washington^3 for Virginia^3
train_1335,"When did Aaron^3 Burr^3 arrive in Baltimore^3 ""Aaron Burr""^4"
train_1336,"Who is the vice president of the United^3 States^3 ""United States""^4"
train_1337,"Aaron^3 Burr^3 is a vice president of what country ""Aaron Burr""^4"
train_1338,Who met at the capitol on July^2 30^2 1801^2
train_1339,"The Supreme^3 Court^3 of what country met at the capitol on July^2 30^2 1801^2 ""The Supreme Court""^4"
train_1340,"Along^3 with Paterson^3 Washington^3 and Washington^3 who was on the Supreme^3 Court^3 of the United^3 States^3 ""Paterson Washington""^4 ""Supreme Court""^4 ""United States""^4"
train_1341,What country was the privateer that took the Brazilian^3 ships
train_1342,When did the Portuguese^3 arrive at Cadiz^3
train_1343,How many guns did the Portuguese^3 fleet have
train_1344,How many guns were in the Portuguese^3 fleet at Cadiz^3
train_1345,Which government ordered the Spanish^3 consul at Cadiz^3 to take possession of all captured American^2 property
train_1346,How many French^3 troops were on their march for Cadiz^3
train_1347,How many frigates from Brest^3 arrived at Cadiz^3
train_1348,How many sails of American^2 vessels had been captured by the Tripolitan^3 cruisers
train_1349,"Who sent 80^2 sick people to the Marine^3 Hospital^3 from on board the brig Flora^3 ""Marine Hospital""^4"
train_1350,"How many sick people have been sent to the Marine^3 Hospital^3 ""Marine Hospital""^4"
train_1351,What city did Jefferson^3 address the merchants of
train_1352,Which chamber passed the bill approving the establishment of a seminary of learning in the town of Dover^3
train_1353,"Who presented a petition from Evan^3 Thomas^3 for the extension of the law authorizing the recording of certain papers in New^3 Castle^3 county ""Evan Thomas""^4 ""New Castle""^4"
train_1354,"Along^3 with Messrs^3 Merritt^3 and what other person signed the petition ""Messrs Merritt""^4"
train_1355,The clerk of the House^3 of Representatives^3 presented sundry bills for the signature of which speaker
train_1356,Who agreed to the amendments proposed by the Senate^3
train_1357,The clerk of the House^3 of Representatives^3 informed the House^3 of Representatives^3 that they had concurred to the amendments proposed by which body
train_1358,How much did the Gap^3 and Newport^3 turnpike company raise by lottery
train_1359,Who passed the bill to allow the Gap^3 and Newport^3 turnpike company to raise 25^2 000^2 dollars
train_1360,"Who approved a bill extending to Farmers^3 Bank^3 of the State^3 of Delaware^3 the privilege of insuring houses stores lives etc ""Farmers Bank""^4"
train_1361,"Who did Mr^3 Fisher^3 present a bill extending the privilege of insuring houses stores lives etc to ""Mr Fisher""^4"
train_1362,Who did Fisher^3 ask to approve the bill to prevent swine running at large in the town of Dover^3
train_1363,Which turnpike company raised the sum of 25000^2 dollars by lottery
train_1364,How much was the Gap^3 and Newport^3 turnpike company able to raise by lottery
train_1365,"Who did Mr^3 Fisher^3 present a bill to allow to convey certain lands therein for the support of government for 1810^2 ""Mr Fisher""^4"
train_1366,"When did the administrators of Kinden^3 Bishop^3 convey certain lands for the support of government ""Kinden Bishop""^4"
train_1367,"On motion of Mr^3 Smith^3 the further consideration of the bill to engage a corps of volunteers was postponed until what day ""Mr Smith""^4"
train_1368,Which member of the House^3 of Representatives^3 was a member of the yeas and nays
train_1369,"Who was the speaker of the House^3 of Representatives^3 in the third reading of the U^3 S^3 Constitution^3 ""U S Constitution""^4"
train_1370,Which member of the House^3 of Representatives^3 passed YEAS^3
train_1371,Who was the speaker of the House^3 of Representatives^3
train_1372,Who were the names of the members of the House^3 of Representatives^3 that passed the third time
train_1373,"Which member of the U^3 S^3 House^3 passed the third time ""U S House""^4"
train_1374,"Along^3 with Anderson^3 Campbell^3 Crawford^3 Lambert^3 and Crawford^3 who was a member of the NAYS^3 ""Anderson Campbell Crawford Lambert""^4"
train_1375,Who referred Reed^3 s motion for an amendment to the constitution to a select committee
train_1376,"Who referred the bill authorizing the president to engage in the service of the U^3 S^3 for a short period of volunteers ""U S""^4"
train_1377,Along^3 with France^3 with what country did the House^3 resume its consideration of the bill concerning commercial intercourse
train_1378,"Who was the chair of the committee on the bill authorizing a detachment of the militia of the United^3 States^3 ""United States""^4"
train_1379,How long must a detachment of 100^2 000^2 militia serve after they arrive at the place of rendezvous
train_1380,"How long had the privilege of obtaining a patent been restricted to citizens of the United^3 States^3 ""United States""^4"
train_1381,How much does the bill require an inventor to pay to receive a patent right to his invention for a term of seven years
train_1382,How much does it cost to renew a patent for a third term
train_1383,The secretary of state may issue a patent to any person claiming it with the concurrence of which secretaries
train_1384,The secretary of state shall publish a list of all patents granted in what year
train_1385,"When did Mr^3 Newton^3 report a bill to prevent the issuing of sea letters ""Mr Newton""^4"
train_1386,"What state is French^3 Town^3 on Elk^3 river located in ""French Town""^4"
train_1387,"What state is French^3 Town^3 on Elk^3 river located in ""French Town""^4"
train_1388,"What state s line is the road from French^3 Town^3 on Elk^3 river in Cecil^3 county to ""French Town""^4"
train_1389,How many shares are subscribed to the Elkton^3 books
train_1390,"Who lived at the dwelling of Dr^3 John^3 Stockton^3 Esq^2 ""Dr John Stockton Esq""^4"
train_1391,"Who lived at the dwelling of Dr^3 S^3 Black^3 in Wilmington^3 ""Dr S Black""^4"
train_1392,How many shares of stock are in Wilmington^3
train_1393,"Who opened the Book^3 store in Wilmington^3 Del^3 ""Wilmington Del""^4"
train_1394,"What is the name of the college whose Latin^3 department is permanently established under the immediate care of Mr^3 Joseph^3 Downing^3 ""Mr Joseph Downing""^4"
train_1395,"What department of Wilmington^3 College^3 is permanently established under the immediate care of Mr^3 Joseph^3 Downing^3 ""Wilmington College""^4 ""Mr Joseph Downing""^4"
train_1396,"Who is responsible for the Latin^3 department of Wilmington^3 College^3 ""Wilmington College""^4"
train_1397,"What language is in a flourishing state under the superintendence of Mr^3 E^3 K^3 Dare^3 ""Mr E K Dare""^4"
train_1398,"Who superintends the English^3 department at Wilmington^3 College^3 ""Wilmington College""^4"
train_1399,"Who was the founder of the Wilmington^3 College^3 Latin^3 department ""Wilmington College Latin""^4"
train_1400,"Who was Thomas^3 Hartman^3 s partner in the partnership of Hartman^3 Rice^3 ""Thomas Hartman""^4 ""Hartman Rice""^4"
train_1401,"How old was John^3 Thomas^3 when he died ""John Thomas""^4"
train_1402,"On what day was the Sixth^3 anniversary of the Arlington^3 Sheep^3 Shearing^3 celebrated ""Arlington Sheep Shearing""^4"
train_1403,"Who won the best Tup^3 and best pair of Ewe^3 Lambs^3 ""Ewe Lambs""^4"
train_1404,"Who was the winner of the best Tup^3 and best pair of Ewe^3 Lambs^3 ""Ewe Lambs""^4"
train_1405,"Who presided and was supported by the hon Mr^3 Campbell^3 as Vice^3 President^3 ""Mr Campbell""^4 ""Vice President""^4"
train_1406,"Who was Mr^3 Campbell^3 a member of ""Mr Campbell""^4"
train_1407,"Who was the Assistant^3 Vice^3 President^3 of Manufactures^3 ""Assistant Vice President""^4"
train_1408,"Who started the new paper at the Wheeling^3 Repository^3 ""Wheeling Repository""^4"
train_1409,On what day is the Depository^3 published
train_1410,How many times will advertising be inserted for one dollar
train_1411,On what day were the Lands^3 aforesaid offered for sale to the highest bidder
train_1412,What country was the Lands^3 aforesaid to be offered for sale to the highest bidder
train_1413,"Along^3 with Captain^3 Lewis^3 who was in command of the Corps^3 of Discovery^3 ""Captain Lewis""^4"
train_1414,What military unit did Lewis^3 and Clarke^3 belong to
train_1415,"What country was the Corps^3 of Discovery^3 commanded by Captain^3 Lewis^3 and Captain^3 Clarke^3 ""Captain Lewis""^4 ""Captain Clarke""^4"
train_1416,Who is a countryman of Sampson^3 s
train_1417,"Who was the Rev^2 Thomas^3 L^3 Birch^3 a countryman of ""Rev Thomas L Birch""^4"
train_1418,Who wrote a satirical letter about Parkinson^3 and Moore^3
train_1419,How many men did Sampson^3 satirize in his letters to Parkinson^3 and Moore^3
train_1420,Who wrote a satirical letter to Parkinson^3 and Moore^3
train_1421,"Who was Lord^3 Sydney^3 s principal secretary of state for the home department ""Lord Sydney""^4"
train_1422,How many Yankee^3 sailor were shot in a day
train_1423,"Who is a notable artist that sells a large quantity of Fall^3 and Winter^3 Goods^3 ""Winter Goods""^4"
train_1424,"Who is the owner of Martinsburg^3 s Money^3 Found^3 ""Money Found""^4"
train_1425,How many acres of land are in the sale of Poles^3
train_1426,How far from Smithfield^3 are the Poles^3
train_1427,"How many miles from Maj^3 Stephenson^3 s stone tavern is the property ""Maj Stephenson""^4"
train_1428,How much land is in the county of Monongalia^3
train_1429,"How many acres of land is HENSHAW^3 1^2 HIRAM^3 HENSHAW^3 August^2 29^2 1806^2 ""HIRAM HENSHAW August""^4"
train_1430,How many rivers are in the Tim^3 tract
train_1431,What is the price per acre of the Tim^3 tract
train_1432,How long does the rent for the Tim^3 tract last
train_1433,How much is the price of Advertisements^3 per week
train_1434,"When will all the property of John^3 County^3 be sold at Thomas^3 W^3 Middle^3 Creek^3 ""John County""^4 ""Thomas W Middle Creek""^4"
train_1435,"Whose^3 property will be sold at Thomas^3 W^3 Middle^3 Creek^3 ""Thomas W Middle Creek""^4"
train_1436,"How many Horses^3 and Gears^3 will be sold at Thomas^3 W^3 Middle^3 Creek^3 ""Thomas W Middle Creek""^4"
train_1437,"How many stout horses will be sold at Thomas^3 W^3 Middle^3 Creek^3 ""Thomas W Middle Creek""^4"
train_1438,"When are claims to John^3 County^3 due to be brought to settlement ""John County""^4"
train_1439,"Who is the Defendant^3 in Ely^3 Beall^3 vs Joshua^3 Boring^3 ""Ely Beall""^4 ""Joshua Boring""^4"
train_1440,"Along^3 with Joshua^3 Boring^3 Frederick^3 Stitely^3 John^3 Branham^3 and what other Defendant^3 ""Joshua Boring Frederick Stitely John Branham""^4"
train_1441,"Who was the defendant in Ely^3 Beall^3 vs Frederick^3 Stitely^3 John^3 Branham^3 and Lewis^3 Duckett^3 ""Ely Beall""^4 ""Frederick Stitely John Branham""^4 ""Lewis Duckett""^4"
train_1442,Who did the Complainant^3 s Counsel^3 order to appear on the January^2 12^2 1807^2 after the third January^2 13^2 1807^2 in February^2 1807^2 next
train_1443,"On what day does Joshua^3 Boring^3 appear to answer the bill of the Complainant^3 ""Joshua Boring""^4"
train_1444,"When does Joshua^3 Boring^3 appear to answer the bill of the Complainant^3 ""Joshua Boring""^4"
train_1445,"Who did Joshua^3 Boring^3 appear to answer the bill of ""Joshua Boring""^4"
train_1446,"Who was Mary^3 Wilcox^3 a Plaintiff^3 against ""Mary Wilcox""^4"
train_1447,"Who and Walter^3 Turner^3 appeared on the January^2 12^2 1807^2 after the third January^2 13^2 1807^2 in January^2 1807^2 next to answer the bill of the Complainant^3 ""Walter Turner""^4"
